kind,name,file,detail
"route","POST /api/purchases/import","src/app/api/purchases/import/route.ts","import_purchases"
"route","POST /api/requests/{id}/bulk","src/app/api/requests/[id]/bulk/route.ts","run_cross_reference"
"route","POST /api/requests/{id}/cancel","src/app/api/requests/[id]/cancel/route.ts","run_cross_reference"
"route","GET /api/requests/{id}/export","src/app/api/requests/[id]/export/route.ts","run_cross_reference"
"route","GET /api/requests/{id}/lines/{lineId}/compare","src/app/api/requests/[id]/lines/[lineId]/compare/route.ts","run_cross_reference"
"route","PATCH /api/requests/{id}/lines/{lineId}","src/app/api/requests/[id]/lines/[lineId]/route.ts","run_cross_reference"
"route","GET /api/requests/{id}","src/app/api/requests/[id]/route.ts","run_cross_reference,run_cross_reference"
"route","DELETE /api/requests/{id}","src/app/api/requests/[id]/route.ts","run_cross_reference,run_cross_reference"
"route","POST /api/requests/{id}/run","src/app/api/requests/[id]/run/route.ts","run_cross_reference"
"route","POST /api/requests/{id}/sheets","src/app/api/requests/[id]/sheets/route.ts","run_cross_reference"
"route","GET /api/requests","src/app/api/requests/route.ts","run_cross_reference,run_cross_reference"
"route","POST /api/requests","src/app/api/requests/route.ts","run_cross_reference,run_cross_reference"
"route","GET /api/settings/branding","src/app/api/settings/branding/route.ts","view_pricing,configure_settings"
"route","PUT /api/settings/branding","src/app/api/settings/branding/route.ts","view_pricing,configure_settings"
"route","GET /api/settings","src/app/api/settings/route.ts","configure_settings"
"route","POST /api/settings","src/app/api/settings/route.ts","configure_settings"
"route","GET /api/system","src/app/api/system/route.ts","configure_settings,configure_settings"
"route","POST /api/system","src/app/api/system/route.ts","configure_settings,configure_settings"
"route","POST /api/webhooks/salesforce","src/app/api/webhooks/salesforce/route.ts","custom"
"page","/accounts/[id]","src/app/accounts/[id]/page.tsx",""
"page","/accounts","src/app/accounts/page.tsx",""
"page","/analytics","src/app/analytics/page.tsx",""
"page","/approvals","src/app/approvals/page.tsx",""
"page","/catalog/gudid","src/app/catalog/gudid/page.tsx",""
"page","/catalog","src/app/catalog/page.tsx",""
"page","/contracts/[id]","src/app/contracts/[id]/page.tsx",""
"page","/contracts","src/app/contracts/page.tsx",""
"page","/crosses","src/app/crosses/page.tsx",""
"page","/intelligence/bids","src/app/intelligence/bids/page.tsx",""
"page","/intelligence/extractions/[id]","src/app/intelligence/extractions/[id]/page.tsx",""
"page","/intelligence","src/app/intelligence/page.tsx",""
"page","/notifications","src/app/notifications/page.tsx",""
"page","/","src/app/page.tsx",""
"page","/proposals/[id]","src/app/proposals/[id]/page.tsx",""
"page","/proposals","src/app/proposals/page.tsx",""
"page","/requests/[id]","src/app/requests/[id]/page.tsx",""
"page","/requests/new","src/app/requests/new/page.tsx",""
"page","/requests","src/app/requests/page.tsx",""
"page","/settings/integrations","src/app/settings/integrations/page.tsx",""
"page","/settings","src/app/settings/page.tsx",""
"page","/settings/pricing","src/app/settings/pricing/page.tsx",""
"view","analytics/refresh.tsx","src/app/analytics/refresh.tsx",""
"view","approvals/delegation.tsx","src/app/approvals/delegation.tsx",""
"view","approvals/queue.tsx","src/app/approvals/queue.tsx",""
"view","catalog/client.tsx","src/app/catalog/client.tsx",""
"view","catalog/coverage.tsx","src/app/catalog/coverage.tsx",""
"view","catalog/gudid/client.tsx","src/app/catalog/gudid/client.tsx",""
"view","contracts/[id]/view.tsx","src/app/contracts/[id]/view.tsx",""
"view","contracts/tools.tsx","src/app/contracts/tools.tsx",""
"view","crosses/filters.tsx","src/app/crosses/filters.tsx",""
"view","crosses/governance.tsx","src/app/crosses/governance.tsx",""
"view","intelligence/bids/client.tsx","src/app/intelligence/bids/client.tsx",""
"view","intelligence/client.tsx","src/app/intelligence/client.tsx",""
"view","intelligence/extractions/[id]/client.tsx","src/app/intelligence/extractions/[id]/client.tsx",""
"view","notifications/inbox.tsx","src/app/notifications/inbox.tsx",""
"view","proposals/[id]/drift-banner.tsx","src/app/proposals/[id]/drift-banner.tsx",""
"view","proposals/[id]/logistics.tsx","src/app/proposals/[id]/logistics.tsx",""
"view","proposals/[id]/workspace.tsx","src/app/proposals/[id]/workspace.tsx",""
"view","requests/[id]/view.tsx","src/app/requests/[id]/view.tsx",""
"view","requests/new/form.tsx","src/app/requests/new/form.tsx",""
"view","settings/branding.tsx","src/app/settings/branding.tsx",""
"view","settings/form.tsx","src/app/settings/form.tsx",""
"view","settings/google.tsx","src/app/settings/google.tsx",""
"view","settings/integrations.tsx","src/app/settings/integrations.tsx",""
"view","settings/integrations/admin.tsx","src/app/settings/integrations/admin.tsx",""
"view","settings/pricing/editor.tsx","src/app/settings/pricing/editor.tsx",""
"view","settings/system.tsx","src/app/settings/system.tsx",""
"component","commercial.tsx","src/components/commercial.tsx",""
"component","dev-signin.tsx","src/components/dev-signin.tsx",""
"component","notifications-bell.tsx","src/components/notifications-bell.tsx",""
"component","sidebar.tsx","src/components/sidebar.tsx",""
"component","sign-in.tsx","src/components/sign-in.tsx",""
"component","ui.tsx","src/components/ui.tsx",""
"model","Company","prisma/schema.prisma",""
"model","OwnProduct","prisma/schema.prisma",""
"model","CompetitorProduct","prisma/schema.prisma",""
"model","CompetitorSpec","prisma/schema.prisma",""
"model","KnownCross","prisma/schema.prisma",""
"model","Pricebook","prisma/schema.prisma",""
"model","PriceEntry","prisma/schema.prisma",""
"model","Request","prisma/schema.prisma",""
"model","RequestLine","prisma/schema.prisma",""
"model","MatchCandidate","prisma/schema.prisma",""
"model","Setting","prisma/schema.prisma",""
"model","LlmCall","prisma/schema.prisma",""
"model","LlmGrade","prisma/schema.prisma",""
"model","User","prisma/schema.prisma",""
"model","UserRole","prisma/schema.prisma",""
"model","Account","prisma/schema.prisma",""
"model","Gpo","prisma/schema.prisma",""
"model","GpoMembership","prisma/schema.prisma",""
"model","Opportunity","prisma/schema.prisma",""
"model","Contract","prisma/schema.prisma",""
"model","ContractScope","prisma/schema.prisma",""
"model","ContractCommitment","prisma/schema.prisma",""
"model","RebateSchedule","prisma/schema.prisma",""
"model","BundleTerm","prisma/schema.prisma",""
"model","StandardCost","prisma/schema.prisma",""
"model","ExchangeRate","prisma/schema.prisma",""
"model","AuditEvent","prisma/schema.prisma",""
"model","Competitor","prisma/schema.prisma",""
"model","Document","prisma/schema.prisma",""
"model","CompetitorPriceObservation","prisma/schema.prisma",""
"model","PricingPolicy","prisma/schema.prisma",""
"model","Proposal","prisma/schema.prisma",""
"model","ProposalLine","prisma/schema.prisma",""
"model","Scenario","prisma/schema.prisma",""
"model","ScenarioLine","prisma/schema.prisma",""
"model","ApprovalRequest","prisma/schema.prisma",""
"model","CrosswalkVersion","prisma/schema.prisma",""
"model","CrosswalkVersionEntry","prisma/schema.prisma",""
"model","ExternalRef","prisma/schema.prisma",""
"model","SyncLog","prisma/schema.prisma",""
"model","PurchaseRecord","prisma/schema.prisma",""
"model","DealOutcome","prisma/schema.prisma",""
"model","MatchDecision","prisma/schema.prisma",""
"model","GudidDevice","prisma/schema.prisma",""
"model","GudidImport","prisma/schema.prisma",""
"model","Notification","prisma/schema.prisma",""
"model","NotificationPreference","prisma/schema.prisma",""
"model","Alert","prisma/schema.prisma",""
"model","FeedRun","prisma/schema.prisma",""
"model","BenchmarkRun","prisma/schema.prisma",""
"model","ModelEval","prisma/schema.prisma",""
"model","ApprovalDelegation","prisma/schema.prisma",""
"model","AnalyticsSnapshot","prisma/schema.prisma",""
"model","PublicAward","prisma/schema.prisma",""
"model","IntegrationConfig","prisma/schema.prisma",""
"model","IntegrationSyncJob","prisma/schema.prisma",""
"model","IntegrationSyncError","prisma/schema.prisma",""
"model","IntegrationReviewItem","prisma/schema.prisma",""
"model","DocumentExtraction","prisma/schema.prisma",""
"model","ExtractedField","prisma/schema.prisma",""
"model","IntegrationInboundEvent","prisma/schema.prisma",""
"migration","20260914200000_postgres_baseline","prisma/migrations/20260914200000_postgres_baseline/migration.sql",""
"migration","20260914210000_enterprise_platform","prisma/migrations/20260914210000_enterprise_platform/migration.sql",""
"migration","20260915020000_gudid_library","prisma/migrations/20260915020000_gudid_library/migration.sql",""
"migration","20260915210000_widen_pct_columns","prisma/migrations/20260915210000_widen_pct_columns/migration.sql",""
"migration","20260915220000_purchase_external_index","prisma/migrations/20260915220000_purchase_external_index/migration.sql",""
"migration","20260917060000_tier1_platform","prisma/migrations/20260917060000_tier1_platform/migration.sql",""
"migration","20260917120000_tier1_fixes","prisma/migrations/20260917120000_tier1_fixes/migration.sql",""
"migration","20260918000000_tier3_product_scale","prisma/migrations/20260918000000_tier3_product_scale/migration.sql",""
"migration","20260918000100_tier3_line_flags","prisma/migrations/20260918000100_tier3_line_flags/migration.sql",""
"migration","20260919000000_tier0_break_glass","prisma/migrations/20260919000000_tier0_break_glass/migration.sql",""
